siRNA ID,Catalog Number,Gene Symbol,Gene Name,Alias,RefSeq,GenBank mRNA,Product Family,siRNA Type,Availability,siRNA Assay,Matched Keywords
s28390,4392420,NOP58,NOP58 ribonucleoprotein,HSPC120;NOP5;NOP5/NOP58,NM_015934.4,AL117554.1;AK023975.1;AF161469.1;BC018805.1;BC001707.1;AF123534.1;AF263608.1;BC032592.2;BC009306.2;AK307396.1,,Silencer® Select,Inventoried,,s28390
s27624,4392420,HAO2,hydroxyacid oxidase 2,GIG16;HAOX2,NM_001005783.2;XM_017001421.1;XM_011541558.1;NM_016527.3,AF231917.1;AY513277.1;BC020863.1;AF203975.1;AK298289.1,,Silencer® Select,Inventoried,,s27624
s27606,4392420,HSD17B14,hydroxysteroid 17-beta dehydrogenase 14,DHRS10;SDR47C1;retSDR3,XM_005258969.3;XM_005258970.3;NM_016246.2,BC006294.1;BC006283.2;AY358430.1,,Silencer® Select,Inventoried,,s27606
s27467,4392420,ZDHHC9,zinc finger DHHC-type containing 9,CGI89;CXorf11;DHHC9;MMSA1;MRXSZ;ZDHHC10;ZNF379;ZNF380,NM_016032.3;NM_001008222.2,AF151847.1;BC006200.2;BC012826.2;AY952881.8;AY358558.1;AB209807.1;BC003128.1;AL161962.1;AK096967.1;AK001424.1;AK001524.1;BC000035.2;AK001112.1,,Silencer® Select,Inventoried,,s27467
s28162,4392420,GULP1,"GULP, engulfment adaptor PTB domain containing 1",CED-6;CED6;GULP,NR_045562.1;NR_045563.1;XM_011511335.2;XM_017004307.1;XM_017004308.1;NM_001252669.1;NM_001252668.1;XM_011511331.1;XM_006712589.3;XM_006712582.1;XM_006712583.3;XM_006712584.3;XM_006712585.1;XM_011511333.1;XM_006712580.3;XM_006712581.1;XM_017004303.1;XM_011511329.1;XM_017004304.1;XM_017004305.1;XM_017004306.1;XM_011511332.1;NM_016315.3,AF200715.1;AF191771.1;AK298626.1;AK314498.1;AK023668.1;AB209890.1;AL080142.1;AK055718.1,,Silencer® Select,Inventoried,,s28162
s29274,4392420,HES2,hes family bHLH transcription factor 2,bHLHb40,NM_019089.4,AK023754.1;BC132698.1;BC136963.1;BC142687.1;AK091122.1,,Silencer® Select,Inventoried,,s29274
s27341,4392420,YARS2,tyrosyl-tRNA synthetase 2,CGI-04;MLASA2;MT-TYRRS;TYRRS,NM_001040436.2,AK024057.1;AF132939.1;AK130935.1;AK026619.1;BC015625.2,,Silencer® Select,Inventoried,,s27341
s28184,4392420,NAT8B,"N-acetyltransferase 8B (putative, gene/pseudogene)",CML2;Hcml2;NAT8BP,NR_132338.1;NM_016347.2,BX105650.1;AF185571.1;BC121102.1;BC069564.1;BC121101.1,,Silencer® Select,Inventoried,,s28184
s195247,4392420,GPN2,GPN-loop GTPase 2,ATPBD1B,NM_018066.3,AK001211.1;BC020272.1;BC008634.1;AK022535.1;AY364261.1;AY358864.1;BC007815.2,,Silencer® Select,Inventoried,,s195247
s27807,4392420,PIPOX,pipecolic acid and sarcosine oxidase,LPIPOX,NM_016518.2;XM_017024722.1,AK022773.1;BC008960.2;AK027498.1;AF136970.1;AF134593.1;CR457155.1;BC027622.2,,Silencer® Select,Inventoried,,s27807
s28254,4392420,LARS,leucyl-tRNA synthetase,HSPC192;ILFS1;LARS1;LEURS;LEUS;LFIS;LRS;PIG44;RNTLS;hr025Cl,NM_001317965.1;NM_001317964.1;XM_011537656.2;NM_016460.3;NM_020117.10,AK315178.1;AK295874.1;D84223.1;AK304134.1;AK225372.1;BC150213.1;BC152422.1;AK023777.1;AK293750.1;BC151214.1;AK025441.1;AB037773.1,,Silencer® Select,Inventoried,,s28254
s28824,4392420,A4GALT,"alpha 1,4-galactosyltransferase",A14GALT;A4GALT1;Gb3S;P(k);P1;P1PK;PK,XM_005261646.4;XM_005261644.2;XM_005261648.3;XM_005261647.2;XM_017028831.1;NM_001318038.1;NM_017436.5;XM_006724266.3;XM_006724265.3;XM_011530233.2,GU902276.1;KU178649.1;GU902277.1;AJ245581.1;AB037883.1;BC017068.2;GU902275.1;KU178650.1,,Silencer® Select,Inventoried,,s28824
s29162,4392420,ROBO4,roundabout guidance receptor 4,ECSM4;MRB,XM_006718861.1;NM_019055.5;NM_001301088.1;XM_011542875.1,AK297845.1;AK289769.1;BC025675.1;BC039602.1;AK074163.1;AK027852.1;BC064643.1;BC014995.1;AY358083.1;BC111748.1;AK302628.1;BC111562.1;AF361473.1;AK025195.1,,Silencer® Select,Inventoried,,s29162
s29280,4392420,FAM63B,family with sequence similarity 63 member B,,XM_011521689.1;XM_011521690.1;NM_001040453.2;XM_011521688.1;NM_001040450.2;XM_017022332.1;XM_017022333.1;XM_017022334.1;XM_017022335.1;XM_011521687.1,BC144616.1;AB075509.1;AL833610.1;BC140811.1;AK297291.1;AB032990.1;AK075319.1,,Silencer® Select,Inventoried,,s29280
s27156,4392420,VILL,villin like,,NM_015873.3;XM_011533773.2;XM_006713184.3;XM_005265191.3;XM_005265192.4;XM_011533770.2;XM_011533771.1,KU178619.1;KU178620.1;BC004300.1;AK309304.1;D88154.1;BC000243.1,,Silencer® Select,Inventoried,,s27156
s195242,4392420,SOX18,SRY-box 18,HLTRS;HLTS,NM_018419.2,BC035513.1;AJ243896.1;AB033888.1;BC038590.1;BC111390.1;BC073971.1;AF270652.1,,Silencer® Select,Inventoried,,s195242
s27880,4392420,BPIFA1,BPI fold containing family A member 1,LUNX;NASG;PLUNC;SPLUNC1;SPURT;bA49G10.5,NM_130852.2;NM_001243193.1;NM_016583.3,AF172993.1;AB024937.1;AF417256.1;AF439448.1;DQ846869.1;AF417257.1;AY359020.1;AK292778.1;BC012549.1;AF158745.1,,Silencer® Select,Inventoried,,s27880
s28471,4392420,PTRH2,peptidyl-tRNA hydrolase 2,BIT1;CFAP37;CGI-147;IMNEPD;PTH;PTH 2;PTH2,NM_001015509.2;NM_016077.4;XM_011524887.1,AK057033.1;AK098219.1;BC017457.1;BC006807.1;BX647177.1;DA092491.1;AF151905.1;AL137322.1,,Silencer® Select,Inventoried,,s28471
s26902,4392420,SLC40A1,solute carrier family 40 member 1,FPN1;HFE4;IREG1;MST079;MSTP079;MTP1;SLC11A3,XM_005246505.1;NM_014585.5;XM_017003938.1,AK223236.1;CR533564.1;AF226614.1;BC035893.1;AF215636.1;AK314827.1;AF147322.1;BC037733.1;AK292146.1;AF231121.1;AL136944.1;BX537503.1;AK002038.1,,Silencer® Select,Inventoried,,s26902
s28599,4392420,RAPGEF6,Rap guanine nucleotide exchange factor 6,KIA001LB;PDZ-GEF2;PDZGEF2;RA-GEF-2;RAGEF2,NM_016340.5;NM_001164386.1;NM_001164388.1;NM_001164387.1;NM_001164389.1,AF478567.1;AF478469.1;AF478468.1;AF394782.1;BC133703.1;BC140820.1;AK302640.1;BC144627.1,,Silencer® Select,Inventoried,,s28599
s27455,4390824,RDH11,retinol dehydrogenase 11 (all-trans/9-cis/11-cis),ARSDR1;CGI82;HCBP12;MDT1;PSDR1;RALR1;RDJCSS;SCALD;SDR7C1,NM_001252650.1;NM_016026.3,KU178627.1;KU178628.1;AB209223.1;AK293355.1;AF167438.1;AK307500.1;BC026274.1;BC037302.1;AK057195.1;CR457180.1;AF395068.1;AK289427.1;DQ426886.1;BC051291.1;AF151840.1;DC355364.1;AK314465.1;AK074749.1;BC000112.1;BC011727.2,,Silencer® Select,Inventoried,,s27455
s29254,4392420,DDX56,DEAD-box helicase 56,DDX21;DDX26;NOH61,NM_019082.3;NM_001257189.1,AK315363.1;AK022774.1;BC001235.1;AF247666.1;AK125595.1;AK222662.1;AJ131712.1;AK309276.1;AL136700.1;CR457213.1,,Silencer® Select,Inventoried,,s29254
s223847,4392420,ST6GALNAC6,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 6",SIAT7-F;SIAT7F;ST6GALNACVI,NM_013443.4;XM_017014660.1;XM_017014661.1;XM_017014658.1;XM_011518611.2;XM_017014659.1;XM_017014662.1;XM_017014663.1;XM_017014666.1;XM_017014667.1;NM_001287001.1;NM_001287002.1;NM_001286999.1;NM_001287000.1;XM_011518610.2;NM_001287003.1;NR_104629.1;XM_017014664.1;XM_017014665.1,AK310850.1;BC016299.2;AK226174.1;AK023900.1;AK300534.1;AY358672.1;AK057100.1;KU178618.1;AB035173.1;BC007802.2;BC006564.2;AK025959.1;AJ507293.1;CR457318.1;KU178617.1,,Silencer® Select,Inventoried,,s223847
s27703,4392420,ZNF219;ARHGEF40,zinc finger protein 219;Rho guanine nucleotide exchange factor 40,ZFP219;SOLO,XM_006720164.3;NM_001101672.1;XM_017021355.1;XM_011536825.1;XM_017021354.1;NM_016423.2;NM_001102454.1;XM_005267739.1;XM_006720163.2,AB015427.1;HY277017.1;BC036105.1;BC000694.2;AK225811.1;AK056261.1,,Silencer® Select,Inventoried,,s27703
s26913,4392420,SOX8,SRY-box 8,,NM_014587.4,AK024491.1;AF164104.1;BC031797.1;AF226675.1,,Silencer® Select,Inventoried,,s26913
s28610,4392420,RTEL1;RTEL1-TNFRSF6B,RTEL1-TNFRSF6B readthrough (NMD candidate);regulator of telomere elongation helicase 1,C20orf41;DKCA4;DKCB5;NHL;PFBMFT3;RTEL,NM_032957.4;NM_016434.3;NM_001283010.1;NM_001283009.1;NR_037882.1,AK304798.1;AF217795.1;AK302508.1;JX119186.1;AK299332.1,,Silencer® Select,Inventoried,,s28610
s224307,4392420,UGT1A6,UDP glucuronosyltransferase family 1 member A6,GNT1;HLUGP;HLUGP1;UDPGT;UDPGT 1-6;UGT1;UGT1A6S;UGT1F,NM_001072.3,J04093.1;AY435141.1;DQ364250.1;DB014621.1;BC019861.1,,Silencer® Select,Inventoried,,s224307
s224230,4392420,LSM 8.00,"LSM8 homolog, U6 small nuclear RNA associated",NAA38,NM_016200.4,AK090561.1;BC022440.1;DB275674.1;AF182294.1;DA318705.1;BC002742.2;DA112078.1;AK311936.1;DA478457.1,,Silencer® Select,Inventoried,,s224230
s28880,4390824,CHRAC1,chromatin accessibility complex 1,CHARC1;CHARC15;CHRAC-1;CHRAC-15;CHRAC15;YCL1,NM_017444.5;NR_040712.1,BU160855.1;BC015891.1;DA647606.1;AK311595.1;AK023537.1;AF226076.1,,Silencer® Select,Inventoried,,s28880
s27053,4392420,ITSN2,intersectin 2,PRO2015;SH3D1B;SH3P18;SWA;SWAP,NM_006277.2;NM_019595.3;NM_147152.2,U61167.1;AF001630.1;AF248540.1;AB033082.1;AF182198.1;AF182199.1;BC146779.1;AF038189.1,,Silencer® Select,Inventoried,,s27053
s29190,4392420,GNL3L,G protein nucleolar 3 like,GNL3B,NM_001184819.1;NM_019067.5,BQ674906.1;AK001475.1,,Silencer® Select,Inventoried,,s29190
s28996,4392420,MOV10L1,Mov10 RISC complex RNA helicase like 1,CHAMP;DJ402G11.8,XM_011530698.1;XM_011530696.1;XM_011530703.1;NM_001164105.1;XM_011530700.2;XM_011530701.1;XM_011530697.1;XM_011530699.1;XM_005261923.3;NM_001164104.1;NM_018995.2;XM_017028834.1;XM_011530704.1;XM_017028833.1;XM_017028837.1;XM_011530702.1,AK307675.1;BC140944.1;AK302401.1;CR456466.1;AF285604.1;AK092675.1;BC152539.1;AK303017.1;BC150137.1,,Silencer® Select,Inventoried,,s28996
s27042,4392420,GALNT9,polypeptide N-acetylgalactosaminyltransferase 9,GALNAC-T9;GALNACT9,NM_021808.3;XM_017019372.1;XM_017019371.1;XM_017019374.1;XM_017019373.1;NM_001122636.1,DR001000.1;BI760629.1;AK055773.1;AF458594.1;AK054820.1;AB040672.2;BC093817.1;BC093819.1,,Silencer® Select,Inventoried,,s27042
s29114,4392420,EXOSC4,exosome component 4,RRP41;RRP41A;Rrp41p;SKI6;Ski6p;hRrp41p;p12A,NM_019037.2;XM_011517134.2,BC002777.2;BM839994.1;AK000598.1;AF281133.1,,Silencer® Select,Inventoried,,s29114
s29340,4392420,RBFOX1,"RNA binding protein, fox-1 homolog 1",2BP1;A2BP1;FOX-1;FOX1;HRNBP1,XM_017023343.1;XM_017023318.1;NM_018723.3;XM_017023320.1;XM_017023322.1;NM_001142334.1;XM_011522547.2;NM_145893.2;XM_017023324.1;NM_145891.2;XM_017023326.1;XM_017023327.1;XM_017023329.1;XM_017023331.1;XM_017023333.1;XM_005255387.3;XM_017023335.1;XM_017023337.1;XM_005255390.3;XM_017023339.1;NM_001308117.1;XM_017023341.1;XM_005255394.4;XM_017023319.1;XM_005255388.4;XM_017023321.1;NM_001142333.1;XM_011522548.2;NM_145892.2;XM_017023323.1;XM_005255391.3;XM_017023325.1;XM_017023328.1;XM_017023330.1;XM_017023332.1;XM_011522546.2;XM_017023334.1;XM_005255386.3;XM_017023336.1;XM_017023338.1;XM_017023340.1;XM_017023342.1,AB208826.1;AK299664.1;AF229057.1;AF109106.1;BC143816.1;KJ534926.1;KJ535001.1;AF094849.1;KJ535000.1;AF448859.1;AK293951.1;AL713700.1;AK001027.1;BC113691.1;AF107203.1,,Silencer® Select,Inventoried,,s29340
s27350,4392420,DERA,deoxyribose-phosphate aldolase,CGI-26;DEOC,NM_015954.3,BC056234.1;AF132960.1;AK309182.1;AK296697.1;AK024614.1;BC041328.1;AK222541.1,,Silencer® Select,Inventoried,,s27350
s28893,4392420,NANS,N-acetylneuraminate synthase,HEL-S-100;SAS;SEMDG,NM_018946.3,AK001659.1;BC000008.2;BC019315.1;AK316608.1;FJ224349.1;AL526281.3;AF257466.1,,Silencer® Select,Inventoried,,s28893
s29602,4392420,GDPD2,glycerophosphodiester phosphodiesterase domain containing 2,GDE3;OBDPF,NM_001171193.1;NM_001171192.1;NM_017711.3;NM_001171191.1;XM_017029614.1;XM_011530977.1,AB048363.1;AK301025.1;BC032009.1;AY358986.1;AK299255.1;AK310090.1;AK316035.1;AK000214.1;AK097293.1;AK307778.1,,Silencer® Select,Inventoried,,s29602
s28496,4392420,ZFR,zinc finger RNA binding protein,SPG71;ZFR1,NM_016107.3,BC137085.1;BC030540.1;BC137084.1;BC051893.1;AK292214.1;BC062986.1;AJ314790.1,,Silencer® Select,Inventoried,,s28496
s28874,4392420,TLR9,toll like receptor 9,CD289,NM_017442.3,AF259262.1;AB045180.1;AF259263.1;AF245704.1;AB445673.1;BC032713.1;AY359085.1,,Silencer® Select,Inventoried,,s28874
s28299,4392420,VPS54,"VPS54, GARP complex subunit",HCC8;PPP1R164;SLP-8p;VPS54L;WR;hVps54L,NM_016516.2;XM_006712029.3;NM_001005739.1;XM_017004316.1,BC041868.1;AY444798.1;AK002205.1;AF102177.1;AK292889.1;CR749701.1;BC030275.1;AL359939.1;AK124436.1;AK292669.1;AK094019.1;AK025545.1,,Silencer® Select,Inventoried,,s28299
s29334,4392420,MARCH5,membrane associated ring-CH-type finger 5,MARCH-V;MITOL;RNF153,XM_011539886.2;NM_017824.4,AK294799.1;AB191202.1;BC015480.1;AK000452.1,,Silencer® Select,Inventoried,,s29334
s29367,4392420,FEV,"FEV, ETS transcription factor",HSRNAFEV;PET-1,NM_017521.2,Y08976.1;BC023511.2,,Silencer® Select,Inventoried,,s29367
s27330,4392420,ATL1,atlastin GTPase 1,AD-FSP;FSP1;GBP3;HSN1D;SPG3;SPG3A;atlastin1,NM_181598.3;NM_001127713.1;NM_015915.4,CR457153.1;AF444143.1;KU178621.1;AY032844.1;KU178622.1;KU178623.1;AK312518.1;AK290185.1;AK223436.1;AF131801.1;BC010708.2;AL833591.1,,Silencer® Select,Inventoried,,s27330
s29470,4392420,TRIT1,tRNA isopentenyltransferase 1,GRO1;IPPT;IPT;IPTase;MOD5;hGRO1,NM_017646.5;NR_132401.1;NM_001312692.1;XM_005270954.2;NM_001312691.1;XM_006710706.1;NR_132415.1,DA031689.1;AY303390.1;AF074918.1;BC010741.1;BC107569.1;AK074222.1;AK000068.1;CR457226.1;BC128156.1;AY702934.1;AY052768.1;AY702933.1;AK307910.1;BC128155.1;AK223478.1,,Silencer® Select,Inventoried,,s29470
s29500,4392420,QPCTL,glutaminyl-peptide cyclotransferase like,gQC,NM_001163377.1;NM_017659.3;XM_017026900.1,AK172764.1;AK000091.1;BC011553.1;AK222636.1,,Silencer® Select,Inventoried,,s29500
s224300,4392420,NDUFB11,NADH:ubiquinone oxidoreductase subunit B11,CI-ESSS;ESSS;LSDMCA3;NP17.3;Np15;P17.3,NM_019056.6;NM_001135998.2,BC107805.1;AF044213.1;AY359056.1;AF251063.1;CR457239.1;AF134476.1;BC010665.1;AK000501.1,,Silencer® Select,Inventoried,,s224300
s224189,4392420,TRIM17,tripartite motif containing 17,RBCC;RNF16;terf,XM_017001418.1;NM_001024940.2;XM_006711779.2;XM_011544211.2;XM_011544210.2;XM_011544209.2;NM_016102.3;XM_017001419.1,AK055426.1,,Silencer® Select,Inventoried,,s224189
s28016,4392420,CHST15,carbohydrate (N-acetylgalactosamine 4-sulfate 6-O) sulfotransferase 15,BRAG;GALNAC4S-6ST,XM_017016321.1;NM_001270764.1;XM_011539857.1;NM_014863.3;NM_001270765.1;XM_005269894.4;XM_006717891.3;NM_015892.4;XM_005269891.3;XM_005269892.4;XM_017016319.1;XM_005269893.3;XM_017016320.1,AK294961.1;BC075813.1;AK299546.1;BC050540.1;AB011170.1;CR749804.1;AF026477.1;AB062423.1;BC027908.1,,Silencer® Select,Inventoried,,s28016
s28457,4390824,PPIL1,peptidylprolyl isomerase like 1,CGI-124;CYPL1;PPIase;hCyPX,NM_016059.4,AF151882.1;BC003048.1;AY359032.1;BU195579.1;AK026636.1,,Silencer® Select,Inventoried,,s28457
s224181,4392420,TMX2,thioredoxin related transmembrane protein 2,CGI-31;PDIA12;PIG26;TXNDC14,NR_026593.2;NM_015959.3,AF132965.1;AF059753.1;AY451236.1;BC000666.1;AK298065.1;AK312990.1;AY451237.1;AY358501.1;AK075359.1;AL037895.1;AK223058.1;CD690929.1,,Silencer® Select,Inventoried,,s224181
s27189,4392420,PDE11A,phosphodiesterase 11A,PPNAD2,NM_001077196.1;NM_001077358.1;NM_016953.3;NM_001077197.1,BC112393.1;AB036704.1;HM771391.1;HM771389.1;HM771390.1;AB038041.1;BC114431.1;BX649056.1;AJ278682.1;AJ251509.1;AF281865.1,,Silencer® Select,Inventoried,,s27189
s224234,4392420,CYB5R1,cytochrome b5 reductase 1,B5R.1;B5R1;B5R2;NQO3A2;humb5R2,NM_016243.2,AK074654.1;AF093822.1;AK223416.1;BC127945.1;AY359026.1;BC018732.1;AF169481.1;AK075304.1;AF125533.1;AF087912.1;AK295902.1;AK313333.1,,Silencer® Select,Inventoried,,s224234
s28522,4392420,SUFU,SUFU negative regulator of hedgehog signaling,PRO1280;SUFUH;SUFUXL,NM_001178133.1;XM_011539858.2;XM_017016323.1;XM_011539864.2;XM_011539863.2;XM_011539861.2;NM_016169.3;XM_011539860.2,AF144231.1;AF159447.1;AF175770.1;AF172319.1;AY358550.1;AK312319.1;BC013291.2;AF222345.1,,Silencer® Select,Inventoried,,s28522
s27261,4392420,GLRX2,glutaredoxin 2,CGI-133;GRX2,NM_197962.2;NM_001319291.1;XM_017001397.1;NM_016066.4;NM_001243399.1,CN362908.1;AF132495.2;BQ432881.1;BC009669.1;AY038988.1;BU157087.1;AF151891.1;AF290514.1;BC028113.1;BM887926.1,,Silencer® Select,Inventoried,,s27261
s28022,4392420,PLA1A,phospholipase A1 member A,PS-PLA1;PSPLA1,NM_015900.3;NR_120610.1;NM_001293225.1;XM_017006572.1;NM_001206960.1,U37591.1;AK222705.1;BC047703.2;AF035268.1;BC035347.1;AK313519.1;DB255030.1;BX647516.1;DB189568.1;AF035269.1,,Silencer® Select,Inventoried,,s28022
s27612,4392420,TUBD1,tubulin delta 1,TUBD,NM_001193611.1;XM_017024716.1;NM_001193612.1;NM_001193609.1;NM_001193610.1;XM_005257425.1;XM_011524871.2;NM_016261.3,AK022771.1;AF201333.1;AB030837.1;BC000258.1;AK298492.1;AK315172.1;AB031045.1;AB031044.1,,Silencer® Select,Inventoried,,s27612
s26915,4392420,PLA2G2E,phospholipase A2 group IIE,GIIE sPLA2;sPLA2-IIE,NM_014589.2,BC069116.1;AF189279.1,,Silencer® Select,Inventoried,,s26915
s28908,4392420,TREM1,triggering receptor expressed on myeloid cells 1,CD354;TREM-1,XM_017010957.1;XM_017010956.1;XM_006715117.3;NM_001242589.2;NM_001242590.2;XM_011514697.1;NM_018643.4;XM_011514696.1;NR_136332.1,BI910026.1;AK301519.1;AY074783.1;DC428714.1;AK292162.1;BC017773.1;AK313104.1;AF287008.1;AF196329.1;AK223264.1,,Silencer® Select,Inventoried,,s28908
s27388,4392420,MLXIPL,MLX interacting protein like,CHREBP;MIO;MONDOB;WBSCR14;WS-bHLH;bHLHd14,NM_032953.2;XM_011516278.1;XM_011516277.1;NR_134541.1;NM_032952.2;NM_032954.2;XM_017012263.1;XM_011516281.2;XM_011516279.1;NM_032951.2,AF156603.1;AF245474.1;AF245472.1;AF245473.1;AF245471.1;AF245470.1;BC012925.1,,Silencer® Select,Inventoried,,s27388
s27706,4392420,TCEB3B,transcription elongation factor B subunit 3B,ELOA2;HsT832;TCEB3L,NM_016427.2,AB030834.1;BC103911.2;BC036022.1;AK314984.1,,Silencer® Select,Inventoried,,s27706
s224188,4392420,UTP11,"UTP11, small subunit processome component homolog (S. cerevisiae)",CGI-94;CGI94;UTP11L,NM_016037.3;XM_011541555.2,AF067802.1;AK296018.1;AK023587.1;AF151852.1;AK291900.1;AK308377.1;BC005182.1;BU940926.1,,Silencer® Select,Inventoried,,s224188
s29024,4392420,ANKIB1,ankyrin repeat and IBR domain containing 1,,XM_011516335.2;XM_011516334.1;NM_019004.1;XM_017012359.1;XM_017012360.1;XM_005250458.3,AK001179.1;BC073893.1;BC063861.1;BC094865.1;BC031483.1;AL137349.1;AK025475.1;AB037807.1,,Silencer® Select,Inventoried,,s29024
s28540,4392420,CYB5R2,cytochrome b5 reductase 2,B5R.2,XM_011520185.2;NM_001302826.1;NM_016229.4;NM_001302827.1;XM_005252975.4;NR_126508.1;XM_017017920.1;XM_011520184.2;XM_006718251.2,AF169802.1;AK290102.1;BQ431043.1;AB209000.1;AY665398.1;BC001346.1;AL133582.1,,Silencer® Select,Inventoried,,s28540
s766,4392420,HEMK1,HemK methyltransferase family member 1,HEMK;MTQ1,XM_011533814.2;XM_011533808.1;XM_011533807.1;XM_011533810.2;NM_016173.4;XM_011533809.2;XM_005265218.3;NM_001317851.1;XM_011533813.2;XM_011533806.2;XM_011533812.2,AF172244.1,,Silencer® Select,Inventoried,,s766
s28593,4392420,UPB1,beta-ureidopropionase 1,BUP1,XM_017028828.1;XM_017028827.1;XM_017028826.1;XM_017028825.1;XM_011530224.2;NM_016327.2;XM_011530225.2;XM_011530222.2;XM_011530223.2,BC139843.1;AK024277.1;BC033388.1;AK314727.1;AF163312.1;AB013885.1;CR456375.1;CR627429.1;BC131703.1,,Silencer® Select,Inventoried,,s28593
s27895,4392420,CYP39A1,cytochrome P450 family 39 subfamily A member 1,,NM_001278738.1;XM_005249171.3;XM_017010925.1;XM_017010924.1;NM_001278739.1;XM_017010921.1;NM_016593.4;XM_017010923.1;XM_017010922.1;XM_011514658.1,BC010358.1;AF237982.1;AK292263.1;AK301604.1;AK307986.1,,Silencer® Select,Inventoried,,s27895
s28372,4392420,TRIM33,tripartite motif containing 33,ECTO;PTC7;RFG7;TF1G;TIF1G;TIF1GAMMA;TIFGAMMA,XM_005270937.3;XM_005270936.3;NM_015906.3;NM_033020.2;XM_017001453.1;XM_011541568.2;XM_017001452.1,AB075517.1;AK021491.1;AK301997.1;AF119043.1;AB029036.1;AK023434.1;AF220136.1;AJ132948.1;AF220137.1,,Silencer® Select,Inventoried,,s28372
s27101,4392420,ASAP1,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 1",AMAP1;CENTB4;DDEF1;PAG2;PAP;ZG14P,XM_011517053.1;XM_011517052.2;XM_017013469.1;XM_005250925.1;NM_001247996.1;XM_006716563.3;XM_006716564.1;NM_018482.3;XM_017013468.1;XM_017013467.1;XM_006716565.3;XM_006716566.1,BC144493.1;BC137135.1;DA319233.1,,Silencer® Select,Inventoried,,s27101
s27847,4392420,RASL12,RAS like family 12,RIS,NM_016563.3;NM_001307930.1;XM_011521660.2,AK300536.1;BC053734.1;AK314914.1;AF233588.1;AK296261.1,,Silencer® Select,Inventoried,,s27847
s28026,4392420,UBR5,ubiquitin protein ligase E3 component n-recognin 5,DD5;EDD;EDD1;HYD,NM_015902.5;XM_017013534.1;XM_011517104.2;XM_017013533.1;XM_005250962.4;XM_011517105.2;NM_001282873.1;XM_011517106.2,U95000.1;AF006010.2;AB020703.3;BC137234.1,,Silencer® Select,Inventoried,,s28026
s29428,4392420,RNF111,ring finger protein 111,ARK,NM_001270529.1;NM_001270530.1;XM_017022342.1;NM_001270528.1;XM_017022343.1;XM_006720575.3;NM_017610.7;XM_017022336.1;XM_017022337.1;XM_011521694.2;XM_006720579.3;XM_017022340.1;XM_011521699.2;XM_017022341.1;XM_011521696.2;XM_017022338.1;XM_005254479.3;XM_017022339.1;XM_011521697.2,AK131304.1;BX538130.1;BX647259.1;BC060862.1,,Silencer® Select,Inventoried,,s29428
s28710,4392420,UBASH3A,ubiquitin associated and SH3 domain containing A,CLIP4;STS-2;TULA;TULA-1,NM_001001895.2;XM_011529605.2;NM_001243467.1;XM_011529609.1;NM_018961.3;XM_011529610.2;XM_006724013.3;XM_011529606.2;XM_011529607.2,BC069357.1;BC069577.1;AF521702.1;BC069511.1;AK308151.1;BC028138.1;AJ277750.1;AK313367.1;AF520809.1,,Silencer® Select,Inventoried,,s28710
s28165,4392420,REV1,"REV1, DNA directed polymerase",AIBP80;REV1L,XM_017004311.1;NM_001321460.1;XM_017004312.1;XM_017004313.1;NM_001321459.1;XM_017004309.1;NM_001321458.1;XM_017004310.1;NR_135651.1;NR_135652.1;NR_135649.1;NM_016316.3;NR_135650.1;NR_135653.1;NM_001037872.2;NM_001321455.1;NM_001321454.1,AF151538.1;AF206019.1;AB047646.1;AK002087.1;DR000409.1;AK307719.1;AF357886.1;BC130411.1;DA852908.1;BC037734.1,,Silencer® Select,Inventoried,,s28165
s26997,4392420,SMARCAL1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1",HARP;HHARP,NM_014140.3;XM_005246632.1;XM_017004228.1;XM_005246631.2;NM_001127207.1,AF432223.1;BC043341.1;DA856812.1;BC016482.1,,Silencer® Select,Inventoried,,s26997
s27224,4392420,ASCC1,activating signal cointegrator 1 complex subunit 1,ASC1p50;CGI-18;SMABF2;p50,XM_017016291.1;XM_017016292.1;XM_017016293.1;XM_017016294.1;NR_045564.1;XM_017016295.1;XM_011539841.2;XM_017016296.1;XM_011539842.2;NM_001198799.2;NM_001198798.2;NM_001198800.2;XM_017016297.1;XM_017016298.1;XM_006717873.3;XM_017016299.1;XM_017016300.1;XM_017016301.1;XM_017016302.1;XM_017016303.1,AK096409.1;AK094170.1;BC012291.1;AK023436.1;AY013290.1;AK298302.1;AF132952.1,,Silencer® Select,Inventoried,,s27224
s28220,4392420,TRIAP1,TP53 regulated inhibitor of apoptosis 1,HSPC132;MDM35;P53CSV;WF-1,NM_016399.2,AK312006.1;CB141335.1;BC055313.1;U75688.1;BC002638.2;AF161481.1,,Silencer® Select,Inventoried,,s28220
s28735,4390824,STX18,syntaxin 18,Ufe1,XM_011513483.1;NM_016930.2;XM_017008296.1;XM_011513485.2;XM_017008297.1;XM_017008298.1;XM_011513480.1,AB028741.1;AK310026.1;BG771856.1;BC014613.2;BT007150.1;BT020135.1;AY453396.1,,Silencer® Select,Inventoried,,s28735
